baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	1275.63606364172	0.510173336929958	0.0927711797066942	5.49926538115528	3.8137678385416e-08	3.86501598704655e-07
ENSG00000000005	793.314864206161	1.58077112090048	0.299261843060572	5.28223412892811	1.27617960297451e-07	1.15998919478502e-06
ENSG00000000419	672.28858744997	0.0774760104822989	0.0685155959879692	1.13077919508871	0.258148038722319	0.366782327242675
ENSG00000000457	349.605026308239	0.17315357626991	0.0760894155602417	2.27565917013544	0.0228664168992335	0.0503527723910302
ENSG00000000460	82.8660461572603	-0.00214332689045677	0.10585098003492	-0.0202485313763717	0.983845113368796	0.989748078638914
ENSG00000000938	697.4144105298	-0.123754894605234	0.221543606337991	-0.558602871239858	0.576432780042738	0.675580801124794
ENSG00000000971	5062.04921023156	-0.554917996960309	0.187483793691872	-2.95981847834971	0.00307820354913239	0.00918131900399572
ENSG00000001036	829.550220067866	-0.102997061689655	0.070578866543092	-1.45931872718259	0.144477403371998	0.230630836273611
ENSG00000001084	1683.62151518779	0.620574971919279	0.0954932672377763	6.4986253991505	8.10572149198985e-11	1.30995993027605e-09
ENSG00000001167	530.240230348171	0.358564619177877	0.0804885091371079	4.45485477395389	8.3950001296818e-06	5.07401697570951e-05
ENSG00000001460	286.951683070033	0.494320130266061	0.0776132622910083	6.3690162695729	1.90244430092631e-10	2.87880753642991e-09
ENSG00000001461	530.392748400289	-0.00676461858534628	0.0866295777756001	-0.0780867084781243	0.937759080007283	0.957543241991015
ENSG00000001497	1246.86627895412	0.133418179776853	0.0420466173523945	3.17310138550907	0.00150819847204582	0.00495841370912964
ENSG00000001561	710.51446753816	0.543066994242493	0.0957262572109575	5.67312470021371	1.40216084240756e-08	1.53713826383955e-07
ENSG00000001617	782.825441784472	0.363267415429405	0.14592358791907	2.48943587948835	0.0127945995451957	0.0308790367381095
ENSG00000001626	61.0009553974521	-0.899541927349642	0.217935225064779	-4.12756555110475	3.66623939259609e-05	0.000189717028254511
ENSG00000001629	1400.80888982631	0.143306759028762	0.072042463830932	1.98919847279338	0.04667930042251	0.0916769506116452
ENSG00000001630	18.2296259723787	0.475789243734457	0.205961375880979	2.31008965491377	0.0208831910608273	0.0466441193391665
ENSG00000001631	903.347604995407	-0.0656457000030367	0.0561764019302879	-1.16856362720595	0.242579489942791	0.349233382523434
ENSG00000002016	315.01886340025	-0.227659046396984	0.0988728036971662	-2.30254466227409	0.0213044757682054	0.0474586892587342
ENSG00000002330	161.742703637382	0.253251409509913	0.171997424165972	1.47241396630181	0.140909123966757	0.226358634642577
ENSG00000002549	2482.06121071573	0.0749549049510697	0.0857286508950005	0.874327359273082	0.3819400039461	0.495809228737304
ENSG00000002586	7357.11694424487	0.240530783375163	0.0804616317091447	2.98938485668102	0.00279539785513181	0.00845326510813531
ENSG00000002587	91.9030495396063	-1.58396665307797	0.20227055965723	-7.83093029337624	4.84273130993113e-15	1.50565647796683e-13
ENSG00000002822	469.217661019369	0.361607053672955	0.0816337018738945	4.42962949581236	9.43951187272031e-06	5.6417757306752e-05
ENSG00000002834	6487.64983699204	0.410908694549644	0.0820732373164922	5.00661004713499	5.53969956562383e-07	4.39873226819661e-06
ENSG00000002919	871.812928117972	-0.151291100377629	0.0696011838931601	-2.17368573226952	0.029728744898037	0.0626853919200804
ENSG00000002933	980.648477967909	-0.974264491839944	0.155138658421751	-6.27995950043196	3.38661236870202e-10	4.9147753996797e-09
ENSG00000003056	1338.02899288129	-0.0474206301051624	0.083947005763637	-0.56488768924863	0.572150157668825	0.671945454087734
ENSG00000003096	91.9144223183612	-0.792958099177037	0.170718618554469	-4.64482495167356	3.40364924704055e-06	2.25702887111341e-05
ENSG00000003137	1653.23064541826	1.51823155144387	0.181547401665234	8.36272806725938	6.12843601020718e-17	2.5574644407929e-15
ENSG00000003147	415.923970219031	0.732685020587229	0.0965382027313697	7.58958629700226	3.20928477098501e-14	8.75976144103598e-13
